VehicleNumber,Lines,Brigade
1005,213,3
1024,108,3
1034,108,2
1038,108,3
1039,263,4
1069,N37,399
1072,108,5
1078,107,7
1119,173,10
1200,263,3
1204,251,61
1216,N33,173
1218,N36,159
1224,106,5
1411,147,5
1414,N72,214
1416,Z31,2
1418,117,1
1419,183,2
1421,N03,3
1422,173,7
1425,146,2
1426,173,4
1427,N02,6
1429,147,3
1505,170,06
1521,119,2
1522,702,219
1525,N44,207
1529,183,4
1534,106,1
1539,N62,227
1543,N16,122
1544,169,3
1546,N37,343
1550,Z31,1
1551,197,3
1552,N46,2
1554,N12,128
1800,156,1
1805,169,5
1815,156,06
1818,170,3
1830,173,5
1835,115,1
1842,N95,192
1855,173,011
1857,N72,215
1858,115,3
1859,173,3
1863,183,5
1869,117,4
1911,222,4
1919,251,64
2004,N33,172
2005,189,14
2010,189,5
2012,217,1
2016,709,5
2017,N86,260
2018,189,9
2019,N34,258
2020,710,5
2025,N31,264
2026,165,3
2027,N83,171
2031,189,12
2202,517,4
2212,187,12
2216,172,6
2223,719,4
2224,177,2
2231,105,4
2234,523,8
2239,191,6
2241,105,2
2244,105,7
2247,ZA1,02
2259,172,5
3401,112,8
3402,112,7
3404,723,480
3406,120,4
3407,190,017
3408,723,474
3411,705,07
3412,132,1
3416,132,3
3418,512,2
3420,738,1
3421,705,64
3426,199,2
3427,112,5
3429,738,2
3430,120,7
3432,145,8
3434,731,478
3442,527,517
3445,190,5
3453,190,8
3457,140,07
3459,245,1
3463,N63,246
3464,162,1
3466,731,476
3469,180,12
35136,L25,1
4204,207,06
4210,207,4
4219,N45,1
4221,N44,2
4225,122,9
4230,178,2
4236,N01,4
4237,178,6
4238,N25,193
4239,N01,1
4241,N45,295
4242,N91,283
4245,N44,1
4246,714,1
4247,N41,182
4248,122,2
4249,N25,194
4300,N71,184
4301,N02,4
4303,146,4
4304,N02,297
4307,146,1
4309,146,5
4320,N25,1
4322,153,2
4339,729,1
4401,N62,225
4403,156,2
4404,N61,111
4405,N46,3
4407,N12,226
4411,N14,1
4414,181,3
4417,N11,110
4418,N16,121
4419,134,1
4420,123,1
4421,N16,212
4428,197,7
4432,134,3
5204,719,2
5206,703,506
5224,182,8
5226,177,1
5232,188,6
5239,188,2
5249,136,9
5253,136,4
5401,116,10
5403,500,1
5408,190,1
5409,509,14
5413,132,2
5417,723,479
5418,N63,247
5421,N13,2
5425,509,3
5436,160,715
5438,116,11
5443,145,2
5446,245,3
5450,N63,245
5457,738,3
5459,500,3
5870,503,1
5886,N43,220
5889,503,3
5891,128,408
5893,503,6
5894,N31,333
5896,N31,334
5899,128,405
5906,180,015
5916,175,409
5923,116,6
5927,111,5
5945,116,17
5946,116,433
5947,116,4
5954,116,14
5956,111,3
5958,127,8
5962,127,7
5964,N43,3
5966,111,9
5970,180,2
5974,N43,4
5981,180,9
5983,518,2
5985,N13,1
5986,N43,2
5992,518,7
5998,503,7
6200,517,6
6201,N38,102
6202,105,3
6203,733,01
6204,728,02
6207,743,05
6212,523,11
6219,105,5
6224,191,1
6226,717,65
6230,713,2
6232,728,1
6234,184,2
6242,177,4
6244,706,2
7211,N85,138
7213,189,3
7234,711,710
7240,N35,237
7242,N32,208
7248,N38,205
7252,N88,206
7256,189,4
7257,N35,239
7302,507,2
7323,525,011
7330,102,546
7331,507,4
743,150,08
744,150,5
748,250,1
749,850,03
753,110,5
754,110,3
756,750,1
757,750,4
769,110,06
7704,520,3
7705,523,3
7709,182,4
7712,517,5
7716,189,15
7720,517,8
7726,N32,101
7729,189,7
7733,509,10
7735,521,3
7738,520,6
7740,N71,185
7741,N21,2
7743,N24,2
7744,N24,3
7745,199,1
7746,102,548
775,850,2
7750,N22,204
7751,509,15
7752,N21,1
7754,162,4
7757,125,5
777,250,3
779,750,2
7800,145,9
7803,145,11
7814,502,465
782,750,07
7824,502,463
7825,720,2
7826,188,3
7829,507,8
7857,145,016
7864,145,5
7868,125,3
7870,523,4
7872,202,544
7886,141,6
80101,L48,1
80114,L43,681
8300,143,4
8301,504,2
8302,172,3
8303,148,2
8306,141,2
8309,504,8
8310,127,2
8312,148,6
8315,136,018
8317,136,10
8318,172,9
8319,710,6
8320,187,2
8321,136,12
8323,187,3
8324,727,3
8325,N01,3
8326,N01,2
8328,319,01
8329,217,07
8330,N34,262
8331,710,2
8336,709,7
8337,709,6
8338,727,422
8341,N31,166
8343,N37,269
8346,504,4
8349,127,6
8362,519,1
8365,N37,267
8367,N81,265
8397,202,542
8449,120,6
8460,138,8
8505,N34,156
8508,217,3
8512,522,3
8514,N34,257
8518,727,429
8525,724,668
8528,174,6
8536,148,4
8537,217,5
8539,148,4
8544,N86,261
8547,742,1
8548,N37,168
8550,N36,371
8554,522,2
8558,N37,270
8560,709,3
8562,N95,191
8565,N24,1
8566,N24,211
8567,N22,203
8570,402,4
8574,521,4
8578,520,7
8579,520,1
8582,Z26,1
8801,504,7
8805,504,4
8807,193,06
8808,136,014
8809,165,4
8810,174,1
8812,522,08
8816,148,7
8817,319,08
8819,168,5
8822,512,5
8825,174,08
8826,148,8
8829,523,022
8833,N33,174
8839,143,2
8841,143,8
8842,502,1
8871,140,3
8872,512,3
8873,738,5
8880,148,3
8881,136,3
8882,136,016
8886,174,5
8891,136,017
8892,522,4
8893,141,5
8894,401,021
8896,308,01
8897,148,9
9062,262,1
9071,104,2
9073,211,2
9074,211,3
9075,211,08
9081,N03,1
9084,N03,5
9086,104,1
9092,511,461
9201,305,1
9202,264,1
9203,201,2
9204,209,572
9205,239,775
9206,203,1
9207,N50,1
9208,511,460
9210,264,1
9211,201,3
9212,203,03
9214,201,05
9215,N50,1
9219,210,472
9220,N13,348
9226,201,1
9227,239,574
9229,211,6
9230,209,571
9231,164,1
9232,211,5
9242,164,2
9245,164,3
9251,201,4
9252,Z12,1
9253,133,2
9312,179,7
9315,739,1
9316,145,469
9317,179,10
9318,135,1
9320,739,2
9322,N03,4
9323,135,6
9325,739,4
9327,N02,1
9332,198,3
9333,142,4
9334,739,6
9337,256,2
9339,N02,2
9341,739,3
9342,N03,6
9343,135,2
9346,234,1
9348,179,5
9350,198,1
9352,179,9
9356,179,4
9357,135,3
9359,142,3
9405,516,4
9416,152,4
9419,N64,2
9420,103,2
9424,N01,6
9425,N91,181
9429,157,10
9431,103,6
9435,152,1
9437,516,3
9442,743,2
9443,N46,1
9449,N64,1
9451,743,3
9456,103,4
9457,N01,5
9459,184,430
9501,N03,2
9503,719,662
9507,159,4
9508,159,1
9509,121,3
9510,159,8
9512,715,54
9513,194,1
9514,220,4
9515,121,1
9519,159,6
9522,104,04
9523,715,52
9524,707,02
