brygada,czas
1,05:32:00
02,05:52:00
1,06:07:00
02,06:22:00
1,06:37:00
02,06:52:00
1,07:07:00
02,07:22:00
1,07:37:00
02,07:52:00
1,08:07:00
02,08:22:00
1,08:37:00
02,08:52:00
1,09:22:00
02,09:52:00
1,10:22:00
1,10:52:00
1,11:22:00
1,11:52:00
1,12:22:00
1,12:52:00
1,13:22:00
1,13:52:00
1,14:15:00
02,14:30:00
1,14:45:00
02,15:00:00
1,15:15:00
02,15:30:00
1,15:45:00
02,16:00:00
1,16:15:00
02,16:30:00
1,16:45:00
02,17:00:00
1,17:15:00
02,17:30:00
1,17:45:00
02,18:00:00
1,18:15:00
02,18:30:00
1,18:45:00
02,19:00:00
1,19:15:00
02,19:45:00
1,20:15:00
02,20:45:00
1,21:15:00
1,21:45:00
1,22:15:00
1,22:45:00
1,23:15:00
