brygada,czas
03,05:17:00
2,05:22:00
2,05:57:00
1,06:02:00
03,06:32:00
1,06:37:00
2,07:02:00
03,07:07:00
1,07:37:00
2,07:38:00
03,08:04:00
1,08:26:00
2,08:49:00
2,09:27:00
1,09:54:00
1,10:32:00
2,10:54:00
2,11:32:00
1,11:54:00
1,12:32:00
2,12:54:00
2,13:37:00
1,13:54:00
03,14:07:00
1,14:34:00
2,14:44:00
2,15:23:00
03,15:29:00
03,16:13:00
1,16:17:00
2,16:49:00
1,16:58:00
03,17:29:00
2,17:33:00
1,18:09:00
03,18:13:00
2,18:49:00
1,18:53:00
2,19:32:00
1,19:49:00
1,20:32:00
2,20:49:00
2,21:32:00
1,21:49:00
1,22:32:00
