brygada,czas
2,04:39:00
3,04:59:00
2,05:19:00
3,05:39:00
2,05:59:00
3,06:15:00
04,06:26:00
2,06:36:00
3,06:46:00
1,06:56:00
04,07:08:00
2,07:19:00
3,07:29:00
1,07:39:00
04,07:49:00
2,07:59:00
3,08:09:00
1,08:19:00
04,08:29:00
2,08:39:00
3,08:49:00
1,08:59:00
04,09:08:00
2,09:16:00
3,09:26:00
1,09:36:00
2,09:51:00
3,10:06:00
1,10:21:00
2,10:36:00
3,10:51:00
1,11:06:00
2,11:21:00
3,11:36:00
1,11:51:00
2,12:06:00
3,12:21:00
1,12:36:00
2,12:51:00
3,13:06:00
1,13:21:00
2,13:36:00
3,13:51:00
1,14:06:00
2,14:19:00
3,14:29:00
04,14:39:00
1,14:49:00
2,14:59:00
3,15:12:00
04,15:22:00
1,15:32:00
2,15:42:00
3,15:52:00
04,16:02:00
1,16:12:00
2,16:22:00
3,16:32:00
04,16:42:00
1,16:52:00
2,17:02:00
3,17:12:00
04,17:22:00
1,17:32:00
2,17:42:00
3,17:52:00
1,18:09:00
2,18:24:00
3,18:39:00
1,18:54:00
2,19:07:00
3,19:21:00
1,19:36:00
2,19:51:00
3,20:06:00
1,20:19:00
3,20:39:00
1,20:59:00
3,21:19:00
1,21:39:00
3,21:59:00
1,22:19:00
3,22:39:00
1,22:59:00
3,23:19:00
1,23:39:00
