brygada,czas
71,05:23:00
72,05:58:00
06,06:14:00
4,06:35:00
5,06:52:00
71,07:09:00
72,07:24:00
3,07:39:00
06,07:54:00
4,08:09:00
5,08:24:00
71,08:39:00
72,08:54:00
3,09:14:00
06,09:34:00
4,09:54:00
5,10:14:00
71,10:34:00
72,10:54:00
3,11:14:00
4,11:34:00
5,11:54:00
71,12:14:00
72,12:34:00
3,12:54:00
4,13:14:00
5,13:34:00
71,13:54:00
72,14:14:00
3,14:34:00
4,14:54:00
5,15:09:00
71,15:24:00
72,15:39:00
06,15:54:00
3,16:09:00
4,16:24:00
5,16:39:00
71,16:54:00
72,17:09:00
06,17:24:00
3,17:39:00
4,17:54:00
5,18:13:00
71,18:33:00
72,18:53:00
06,19:13:00
3,19:33:00
4,19:53:00
5,20:11:00
71,20:31:00
72,20:51:00
3,21:10:00
4,21:29:00
71,21:53:00
72,22:23:00
3,22:53:00
4,23:23:00
