zespol,slupek
2124,01
2059,01
2090,01
2147,01
2250,02
2073,02
2074,02
2104,02
2091,02
2220,05
2094,02
2124,02
2102,02
2441,01
2074,01
2370,01
2093,02
2149,02
2083,02
2103,02
2102,05
2082,02
R-10,00
2091,01
R-10,99
2103,01
2082,01
2146,01
R-10,90
2092,02
2148,06
2090,02
2370,02
2058,01
2080,02
2365,01
2080,01
2072,01
2219,02
2075,03
2083,01
2075,06
2148,04
2148,05
2075,04
2058,02
2092,01
2081,02
2219,01
2365,02
2364,01
2072,02
2081,01
2146,04
2149,01
2104,01
2073,01
2094,01
2093,01
2095,01
2015,03
2015,04
2147,02
2095,02
2220,02
2071,01
2059,06
