zespol,slupek
6208,02
6109,01
5210,02
6115,02
6201,02
6152,02
6115,01
6084,01
6151,03
6112,03
6108,04
6801,02
6803,02
6113,02
6801,01
6184,04
6202,01
6225,02
6151,01
6104,01
5210,01
6804,02
6185,02
6802,02
6802,01
6826,01
6106,01
6149,02
6202,02
6185,01
6111,02
6108,03
6804,01
6110,01
6112,04
6188,02
6225,01
6187,01
6110,02
5055,02
6113,01
6105,01
6184,02
6153,01
6208,01
6153,02
6152,01
6114,01
6150,01
6150,02
6826,04
6092,01
6149,01
6188,01
6826,03
6228,01
6201,01
5055,06
6114,02
6803,01
5180,51
6109,02
6187,02
