zespol,slupek
3169,06
3462,02
3022,04
3424,02
3952,02
3795,02
3952,01
3439,02
3275,02
3320,02
3025,03
3438,01
3446,01
3793,02
3430,02
3023,01
3024,01
3951,02
3165,01
3205,01
3169,02
3986,01
3023,02
3463,01
3439,01
3794,01
3370,01
3022,01
3748,02
3025,02
3795,01
3164,01
3431,02
3164,02
3352,02
3169,03
3164,03
3424,01
3437,02
3321,01
3024,02
3984,01
3340,02
3986,02
3352,01
3275,01
3387,02
3438,02
3348,01
3168,02
3748,01
3463,02
3465,01
3348,02
3462,01
3984,02
3983,01
3160,02
3160,03
3437,01
3440,01
3793,01
3025,04
3794,02
3983,02
3431,01
3465,02
3440,02
3025,01
3165,02
