zespol,slupek
2460,02
7033,02
2196,01
2453,02
2201,02
2453,01
2205,01
7013,06
2140,04
2252,01
2148,08
7041,02
2148,05
2195,02
2870,01
2140,01
2054,02
2208,02
2358,01
7013,15
2052,01
2055,04
2239,02
7033,01
7003,02
2048,02
2128,02
2802,01
2097,03
2052,02
2194,01
2459,02
2143,02
2313,02
2144,01
7002,25
2209,02
2198,01
2201,01
2191,01
2199,02
2150,03
2193,02
2249,01
2242,52
2351,01
2358,02
7068,01
2128,01
2242,51
2131,01
2350,01
7068,02
2249,02
2208,01
2452,01
2350,02
2053,02
2198,02
2460,01
2870,02
2352,01
2206,01
2360,01
2145,02
R-10,90
2139,02
2054,01
2055,02
2353,01
2191,02
2138,02
2351,02
2355,02
2237,02
2355,01
2215,02
2190,02
2195,01
2354,01
2200,01
7003,01
2252,02
2194,02
2356,01
2143,01
2149,03
2452,02
2149,01
2353,02
2360,02
2197,01
2869,01
2053,01
2357,01
2215,01
R-10,98
2206,02
2357,02
2131,02
2237,03
2192,02
2209,04
2145,04
2190,04
2200,02
2356,02
2193,01
2144,02
2197,02
2138,01
7041,01
2048,07
2199,01
2139,01
2207,01
2869,02
2192,01
2207,02
2052,03
2146,03
2196,02
2146,04
2354,02
2097,04
2313,03
2459,01
2352,02
