VehicleNumber,line,brigade,Before time,On time,Delay under 2 minutes,Delay from 2 to 5 minutes,Delay from 5 to 10 minutes,Delay from 10 to 30 minutes,Delay from 30 minutes to 1 hour
1000,213,1,2,0,0,0,0,0,0
1001,225,503,0,0,0,0,0,0,0
1002,225,501,0,0,0,0,0,0,0
1003,219,3,2,0,0,0,0,0,0
1004,213,3,0,0,0,0,0,0,0
1005,219,1,0,0,0,0,0,0,0
1006,213,4,0,0,0,0,0,0,0
1007,225,04,0,0,0,0,0,0,0
10071,L-8,1,0,0,0,0,2,0,0
10072,L31,1,0,1,0,0,0,0,0
10073,L49,1,0,0,0,0,0,0,0
10074,L24,696,1,0,0,0,0,0,0
1008,213,5,1,1,0,0,0,0,0
1012,219,2,0,1,1,0,0,0,0
1013,225,502,0,0,0,0,0,0,0
1014,213,2,0,0,0,0,0,0,0
1021,339,02,0,0,0,0,0,0,0
1022,107,3,0,0,0,1,0,0,0
1023,263,06,0,0,0,0,0,0,0
1024,192,5,1,0,0,0,0,0,0
1025,192,4,1,0,0,0,0,0,0
1026,815,777,0,0,0,0,0,0,0
1027,339,01,0,0,0,0,0,0,0
1028,339,03,0,0,0,0,0,0,0
1029,192,06,0,0,0,0,0,0,0
1030,192,1,1,0,0,0,0,0,0
1031,208,04,0,0,0,0,0,0,0
1034,163,03,0,0,0,0,0,0,0
1035,164,05,0,0,0,0,0,0,0
1036,208,05,0,0,0,0,0,0,0
1037,107,9,0,0,1,0,0,0,0
1038,163,01,0,0,0,0,0,0,0
1039,108,2,0,0,0,0,0,0,0
1040,107,8,0,1,2,1,0,0,0
1042,107,2,0,0,0,0,1,0,0
1043,107,4,0,0,1,0,0,0,0
1044,107,5,0,3,0,3,0,0,0
1046,204,07,0,0,0,0,0,0,0
1048,204,06,0,0,0,0,0,0,0
1049,204,05,0,0,0,0,0,0,0
1050,207,3,1,0,0,0,0,0,0
1051,228,3,1,0,0,0,0,0,0
1052,228,2,0,0,0,0,0,0,0
1054,228,1,1,0,1,2,0,0,0
1055,208,591,2,0,0,0,0,0,0
1057,228,3,0,0,0,0,0,0,0
1059,208,2,0,0,1,0,0,0,0
1060,108,1,0,0,0,0,0,0,0
1061,163,02,0,0,0,0,0,0,0
1062,108,4,2,0,0,0,0,0,0
1064,809,776,0,0,0,0,0,0,0
1066,192,2,0,0,0,0,0,0,0
1067,200,1,0,0,0,0,1,0,0
1068,107,6,1,0,1,4,0,0,0
1069,108,3,1,0,0,0,0,0,0
1070,108,399,0,0,1,0,0,0,0
1071,263,4,0,0,0,0,0,0,0
1072,108,5,1,1,0,0,0,0,0
1073,107,7,1,0,0,5,0,0,0
1075,208,06,0,0,0,0,0,0,0
1076,192,3,0,0,0,0,0,0,0
1077,164,04,0,0,0,0,0,0,0
1078,208,03,0,0,0,0,0,0,0
1079,107,1,0,0,0,0,0,0,0
1101,338,02,0,0,0,0,0,0,0
1102,173,10,0,0,0,0,0,0,0
1106,170,2,0,0,0,1,0,0,0
1109,170,4,0,0,0,0,0,0,0
1110,240,2,0,0,0,0,0,0,0
1112,173,8,1,0,0,0,0,0,0
1115,303,3,1,0,0,0,0,0,0
1117,338,04,0,0,0,0,0,0,0
1118,303,2,0,0,0,0,0,0,0
1119,123,5,0,1,0,1,0,0,0
11201,L27,1,0,0,0,0,0,0,0
11202,L27,2,0,0,0,0,0,0,0
1200,218,3,1,0,0,0,0,0,0
1202,166,010,0,0,0,0,0,0,0
1203,263,1,0,0,1,0,0,0,0
1204,118,4,1,0,0,0,0,0,0
1205,106,3,0,0,0,0,0,0,0
1206,251,62,1,0,0,0,0,0,0
1207,263,3,0,0,0,0,0,0,0
1208,739,07,0,0,0,0,0,0,0
1209,319,03,0,0,0,0,0,0,0
1211,218,1,1,0,0,0,0,0,0
1212,119,07,0,0,0,0,0,0,0
1213,106,4,0,0,0,0,0,0,0
1214,106,1,0,0,0,0,0,0,0
1216,263,5,0,0,0,0,0,0,0
1217,218,2,1,0,0,0,0,0,0
1218,251,61,1,0,0,1,0,0,0
1219,319,06,0,0,0,0,0,0,0
1220,106,2,0,0,0,0,0,0,0
1221,139,63,0,0,0,1,0,0,0
1222,319,01,0,0,0,0,0,0,0
1223,263,2,1,0,0,0,0,0,0
1224,106,5,0,0,0,0,0,0,0
1400,173,2,0,0,0,0,0,0,0
1401,204,04,0,0,0,0,0,0,0
1411,146,07,0,0,0,0,0,0,0
1414,183,2,1,0,0,0,0,0,0
1415,319,05,0,0,0,0,0,0,0
1416,146,2,0,0,0,0,0,0,0
1417,119,1,0,0,0,0,0,0,0
1418,730,053,0,0,0,0,0,0,0
1420,183,6,0,0,0,0,0,0,0
1421,147,3,0,0,0,0,0,0,0
1422,173,011,0,0,0,0,0,0,0
1424,153,2,0,0,0,0,0,0,0
1425,173,3,0,0,0,0,0,0,0
1426,153,1,0,0,0,0,0,0,0
1427,173,5,0,0,1,0,0,0,0
1428,117,4,2,0,0,0,0,0,0
1429,702,2,0,0,0,0,0,0,0
1430,173,012,0,0,0,0,0,0,0
1500,338,02,0,0,0,0,0,0,0
1501,197,010,0,0,0,0,0,0,0
1502,169,5,0,0,0,0,0,0,0
1505,156,06,0,0,0,0,0,0,0
1506,197,08,0,0,0,0,0,0,0
1508,221,1,16,2,0,0,0,0,0
1509,166,343,1,0,0,0,0,0,0
1513,106,09,0,0,0,0,0,0,0
1520,119,3,0,0,0,1,8,2,0
